Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
1,5,48,1,1995,6,1,1
2,5,48,1,1995,6,8,1
2,5,48,1,1995,6,20,1
2,5,48,1,1995,6,21,1
2,5,29,1,1995,6,21,1
1,5,40,1,1995,7,1,1
1,2,12,1,1995,7,18,1
2,5,29,1,1995,7,26,1
1,5,40,1,1995,8,11,1
2,5,48,1,1995,8,15,1
1,5,42,1,1995,8,16,1
2,5,45,1,1995,8,18,1
2,5,5,1,1995,8,31,1
1,5,4,1,1995,9,13,1
2,5,48,1,1995,9,19,1
1,5,17,1,1995,9,20,1
1,5,37,1,1995,9,22,1
1,5,51,1,1995,9,27,1
1,5,48,1,1995,10,4,1
1,5,51,1,1995,10,19,1
2,5,51,1,1995,11,13,1
1,5,29,1,1995,11,15,1
1,5,17,1,1995,11,22,1
1,5,29,1,1995,11,29,1
2,2,12,1,1995,12,4,1
1,2,12,1,1995,12,5,1
1,5,29,1,1995,12,6,1
2,5,48,1,1995,12,6,1
4,5,48,1,1995,12,7,1
5,5,48,1,1995,12,11,1
1,5,48,1,1995,12,12,1
1,5,51,1,1996,1,4,1
2,5,51,1,1996,1,23,1
1,1,10,1,1996,1,25,1
2,5,10,1,1996,1,30,1
1,5,48,1,1996,2,9,1
2,2,1,1,1996,2,16,1
1,5,29,1,1996,2,21,1
1,5,6,1,1996,2,23,1
2,5,48,1,1996,2,27,1
2,5,22,1,1996,3,1,1
1,5,32,1,1996,3,30,1
1,5,29,1,1996,4,10,1
1,5,40,1,1996,4,26,1
1,5,6,1,1996,5,3,1
1,5,45,1,1996,5,31,1
1,5,4,1,1996,6,19,1
1,2,31,1,1996,7,17,1
1,5,51,1,1996,7,17,1
2,5,18,1,1996,7,18,1
1,5,45,1,1996,7,19,1
3,5,29,1,1996,7,31,1
2,5,29,1,1996,8,7,1
1,5,5,1,1996,8,8,1
1,5,40,1,1996,8,9,1
1,5,29,1,1996,8,21,1
5,5,4,1,1996,8,22,1
1,5,45,1,1996,9,6,1
1,5,41,1,1996,9,6,1
2,5,17,1,1996,9,18,1
5,5,48,1,1996,9,18,1
1,2,45,1,1996,10,4,1
2,2,12,1,1996,10,21,1
1,2,13,1,1996,11,14,1
1,5,45,1,1996,11,15,1
1,2,13,1,1996,11,15,1
2,5,51,1,1996,11,21,1
2,5,45,1,1996,11,22,1
1,5,51,1,1996,12,3,1
2,2,12,1,1996,12,6,1
2,5,51,1,1996,12,10,1
1,5,29,1,1996,12,11,1
1,5,51,1,1996,12,12,1
1,5,51,1,1996,12,16,1
1,5,5,1,1997,1,8,1
5,5,5,1,1997,1,8,1
2,5,5,1,1997,1,8,1
1,2,1,1,1997,1,10,1
1,5,4,1,1997,1,23,1
1,5,29,1,1997,1,29,1
1,5,51,1,1997,2,6,1
1,5,48,1,1997,2,10,1
2,5,51,1,1997,2,26,1
2,5,48,1,1997,3,12,1
5,2,12,1,1997,3,25,1
1,5,48,1,1997,4,2,1
1,5,48,1,1997,4,3,1
1,5,48,1,1997,4,14,1
1,5,48,1,1997,4,16,1
1,5,48,1,1997,4,21,1
1,5,22,1,1997,4,24,1
1,5,48,1,1997,4,29,1
2,2,1,1,1997,5,2,1
2,5,48,1,1997,5,6,1
3,5,40,1,1997,5,8,1
2,5,48,1,1997,5,13,1
1,5,41,1,1997,5,16,1
1,5,48,1,1997,5,16,1
1,5,48,1,1997,5,19,1
1,5,48,1,1997,5,20,1
2,5,48,1,1997,5,21,1
1,5,48,1,1997,5,22,1
1,5,48,1,1997,5,28,1
2,5,48,1,1997,6,2,1
2,5,48,1,1997,6,3,1
2,5,48,1,1997,6,4,1
5,5,48,1,1997,6,4,1
1,2,1,1,1997,6,6,1
1,5,48,1,1997,6,11,1
1,5,45,1,1997,6,13,1
1,5,48,1,1997,6,16,1
2,5,48,1,1997,6,17,1
5,5,48,1,1997,6,18,1
1,5,4,1,1997,6,25,1
1,2,21,1,1997,7,1,1
2,5,24,1,1997,7,2,1
1,5,51,1,1997,7,17,1
1,5,51,1,1997,7,23,1
3,5,48,1,1997,7,29,1
1,5,29,1,1997,8,6,1
1,5,5,1,1997,8,6,1
1,5,29,1,1997,8,13,1
2,5,51,1,1997,8,19,1
1,5,29,1,1997,8,20,1
2,5,48,1,1997,9,9,1
5,5,51,1,1997,9,17,1
2,5,48,1,1997,9,22,1
2,5,29,1,1997,9,24,1
1,5,48,1,1997,9,25,1
1,5,48,1,1997,9,30,1
2,5,48,1,1997,10,1,1
1,5,48,1,1997,10,8,1
1,5,8,1,1997,10,13,1
1,5,29,1,1997,10,22,1
2,5,48,1,1997,10,28,1
4,5,48,1,1997,11,4,1
1,5,48,1,1997,11,6,1
2,5,45,1,1997,11,7,1
2,5,51,1,1997,11,13,1
2,5,17,1,1997,11,19,1
2,5,17,1,1997,11,19,1
1,5,48,1,1997,11,19,1
2,5,18,1,1997,11,20,1
2,5,48,1,1997,11,21,1
1,5,48,1,1997,12,9,1
